year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1935,1090,1270,1397,1628,2811,17900,7520,1557,1382,1660,1650,1325
1936,1199,888,2002,2117,4562,12210,3669,3022,1329,2218,2081,1389
1937,1275,1228,2029,2225,5316,12760,9181,1381,1802,2021,1565,1227
1938,1278,1335,2026,1861,4546,11950,7629,1928,2644,2588,2156,1600
1939,1509,1219,2793,2047,4379,6994,2750,2193,1920,2170,2991,1894
1940,1175,1378,1715,1480,2249,3975,1970,1303,1895,3403,2453,2729
1941,1588,1588,2012,2218,5707,8139,2815,4594,3934,4026,3109,2220
1942,1638,1909,3413,4798,7963,12470,5350,1553,2224,2383,2395,1849
1943,1579,2726,3566,4151,4985,16170,14000,3292,2421,2155,2470,1732
1944,1490,1728,2280,3155,8655,17690,9022,1622,1916,2212,2240,1430
1945,1927,2019,2722,2392,4594,11500,10040,3473,3896,3205,2534,2109
1946,2087,2116,3026,3350,4203,10220,5308,1843,3400,2922,2380,2027
1947,1610,1900,2907,2818,8744,15290,13650,3795,2452,3018,2808,2166
1948,2030,3059,4156,3154,4927,14010,4910,1899,2454,2317,2283,1707
1949,1940,2087,3790,2478,5455,10440,4208,1462,2513,3199,2852,2102
1950,2290,2745,2777,2528,3417,9883,8725,3201,3620,3896,3205,2784
1951,2173,2693,2851,3383,6249,11580,9885,4990,2964,2814,2538,1981
1952,2210,2077,2184,2903,5293,5419,2865,2480,2302,2780,2420,2288
1953,2471,2674,2477,2449,2509,5276,1973,2043,2074,2530,2936,2622
1954,1945,1719,1621,2047,3945,3944,4124,2129,2222,2641,2730,2687
1955,2267,1900,2726,3475,3721,5308,2305,1780,1904,2151,2247,2626
1956,2828,2992,3192,2424,3914,6438,3022,2110,2817,3187,3500,2808
1957,2086,2288,2410,2122,4695,12160,10650,2680,2825,3955,4002,3213
1958,3495,3699,3091,2166,4084,4974,2801,4040,3877,3947,3702,3314
1959,2783,1654,2075,2099,2198,4805,2659,1794,2103,3054,2537,2437
1960,2085,2227,2844,1701,1632,3057,1144,1634,1979,1780,1394,1198
1961,1157,1566,1413,1231,2144,2749,1347,1335,3199,2801,2730,2152
1962,1794,3755,4539,4138,4161,7568,5365,3042,3154,3251,2923,2526
1963,1875,2735,2269,2163,3327,12760,5746,2064,2806,3228,3249,3042
1964,3060,2150,2562,3659,5537,9341,7483,2622,2681,2983,2809,2526
1965,2742,3218,3472,3788,3866,11820,14160,4488,3458,4375,857,2804
1966,2541,1396,328,678,900,1078,1388,1260,1074,1363,1757,2435
1967,1903,2215,2640,2326,2368,7019,18890,4227,3021,3141,3596,4999
1968,5267,4092,4355,3622,4209,8387,2883,2320,3768,3557,4129,3939
1969,3618,3783,4266,2181,1668,3104,4777,3578,3251,3393,3087,3837
1970,3968,3787,2088,1144,2377,5410,6770,2520,1972,2571,3159,4014
1971,3813,3538,4553,5541,6985,7962,5975,3347,2594,5142,5073,4236
1972,3999,4000,4615,6675,5055,6134,3932,3225,3144,4050,5049,3532
1973,3616,3541,3296,2571,4746,5765,2580,3075,4544,4378,5074,2781
1974,2830,3999,4796,5411,4297,6342,7135,2930,2936,3663,3591,3724
1975,3818,3744,3354,3400,5205,6977,8179,5718,3898,3142,4223,4099
1976,4123,4384,4809,4833,5306,5871,3809,2631,2610,3005,4398,3795
1977,3878,3016,2226,1661,1736,1925,2113,1867,1709,1224,1085,1879
1978,2294,3006,3674,3658,3161,7503,10240,6490,3505,3993,4046,4225
1979,3514,3521,3519,3665,3253,3125,3542,3042,2266,1933,1926,2927
1980,3027,3266,3212,3466,1971,3194,4650,3129,3442,3813,2738,3195
1981,3259,3078,2107,1658,2068,6309,3886,2093,2274,2657,3118,3112
1982,3095,3129,3537,3524,2020,2556,6005,4547,3690,4009,5151,4632
1983,3900,3939,3981,3060,4161,5793,9824,3967,3845,4095,4642,3681
1984,3105,3289,3117,3242,4308,5758,5060,4130,3462,4296,4484,3581
1985,3307,3370,3092,2790,2105,2203,2050,2161,2187,2127,2383,2880
1986,2568,2559,3699,3794,3998,6434,6728,3387,3608,3972,3938,3687
1987,3053,2863,3067,3171,2584,2961,2757,2383,2017,2199,3029,2753
1988,2575,2386,2314,2186,2918,2874,2526,2207,1957,1503,1702,1785
1989,1900,2032,1845,1712,1715,2039,2128,2099,1967,1833,2796,3244
1990,3264,3152,2870,2316,2157,2505,2686,2680,2032,2276,2436,2964
1991,3294,2646,2181,1948,2608,10320,6401,2780,3357,3596,3601,3499
1992,3279,2753,2277,2069,2276,2525,2774,2894,1996,1934,2762,2902
1993,2704,2148,2211,2000,2564,4614,5707,3110,2630,4245,3795,3105
1994,3053,2534,2348,2162,2603,3135,2268,1927,1650,1552,1497,1831
1995,1765,1737,1699,1659,3915,7206,10800,3721,4225,3895,2662,2933
1996,2787,3280,4403,5960,4762,6746,5111,2704,2698,2637,2742,3116
1997,3432,4219,4806,6436,4208,8730,5945,6784,4452,4048,3260,2616
1998,2938,3604,3650,4618,3721,3042,5807,4898,4295,3902,3204,3264
1999,3666,3668,4347,3508,6969,9500,7377,4673,3896,3977,3144,2802
2000,2637,2510,2643,2508,2355,2303,2327,2315,1951,2082,2134,2021
2001,2148,2288,2013,1984,2206,2234,2346,2147,1745,1313,1410,1545
2002,1539,1734,1575,1514,1506,1369,1393,1461,1350,1353,1279,1346
2003,1357,1411,1400,1363,1263,1774,2051,1905,1719,1455,1458,1528
2004,1702,1489,1576,1612,1696,1792,1746,1588,1413,1452,1596,1717
2005,1548,1550,1489,1488,1471,4533,4422,2681,2558,2561,2717,2550
2006,2537,2513,2406,2424,2547,2734,2213,1817,1520,1460,1593,1603
2007,1584,1518,1532,1511,1566,1759,2175,2169,1900,1626,1919,2097
2008,2002,1950,1921,1935,2653,7913,4728,2771,2647,2564,2539,2510
2009,2491,2432,2404,2992,4093,9140,8201,3206,3305,3224,2894,2795
2010,2659,2440,1908,1939,5432,9999,5968,3342,3236,2696,2333,2318
2011,2318,2361,2605,4930,6796,14590,10480,6741,3969,4079,3273,3139
2012,3119,3066,2877,2992,2433,2282,2272,2133,1927,1786,1905,1946
2013,1867,1858,1862,1817,2204,2383,2418,2424,2180,1975,2343,2717
2014,2660,2494,4671,6865,7842,4504,5192,2494,3889,3725,3038,2917
2015,2927,2826,3222,2475,3054,12670,4595,2594,2696,2844,2605,2468
2016,2497,2458,2212,2361,5141,5507,2565,2438,2922,2714,2581,2754
