Year,Month,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
1900,1,1.74,34.11,-1.81,-1.81,-1.86,-1.81,5,858,-1.05,-0.68,-0.74,-1.2,-0.96,-0.94,-0.63,23.94,44.26
1900,2,2.52,30.76,0.61,-1.01,1.83,-0.06,5,835,0.93,-0.17,-0.15,-0.76,-0.74,-0.86,-0.39,19.36,42.15
1900,3,2.28,41.27,0.31,-1.15,-0.73,-0.51,13,695,-0.42,0.35,-0.39,-0.26,-0.86,-1.07,-0.44,29.53,53.01
1900,4,3.41,51.6,1.12,1.12,2.55,1.12,26,357,1.83,0.92,1.18,0.27,-0.45,-0.39,-0.07,39.87,63.36
1900,5,2.45,61.74,-0.6,-0.6,-1.79,-0.6,102,147,-0.96,0.6,0.24,0.03,-0.5,-0.53,-0.31,48.58,74.89
1900,6,3.03,70.3,-0.61,-0.61,-0.22,-0.61,220,31,0.15,-0.53,0.51,0.06,-0.01,-0.51,-0.33,57.06,83.53
1900,7,3.07,73.13,-0.4,-0.4,0.45,-0.4,317,10,0.76,0.51,-0.17,0.63,0.03,-0.46,-0.29,60.12,86.16
1900,8,2.42,72.86,-0.66,-0.66,-0.91,-0.66,331,14,-0.53,0.08,0.16,0.17,0.05,-0.4,-0.46,59.88,85.84
1900,9,2.93,65.14,0.39,0.39,1.18,0.39,188,63,1.01,0.42,0.69,0.76,0.37,0.22,-0.32,53.26,77
1900,10,2.75,56.35,0.71,0.71,1.06,0.71,73,198,0.92,1.22,0.85,0.44,0.98,0.4,-0.26,44.8,67.91
1900,11,2.37,41.54,0.8,0.8,0.49,0.8,12,541,0.24,0.77,1.02,0.86,0.73,0.57,-0.21,30.81,52.27
1900,12,1.66,34.48,-0.43,-0.43,-1.3,-0.43,4,823,-1.3,-0.65,-0.03,0.28,0.46,0.24,-0.17,24.3,44.67
1901,1,1.99,31.62,-0.72,-0.72,-0.99,-0.72,6,900,-0.53,-1.26,-0.81,-0.08,-0.12,0.33,-0.31,21.09,42.17
1901,2,2.13,29.86,-0.41,-0.41,0.71,-0.41,3,895,0.08,-0.39,-1.17,0.08,0.1,0.15,-0.36,19.49,40.24
1901,3,2.29,40.71,-0.54,-0.54,-0.53,-0.54,10,650,-0.39,-0.21,-0.55,-0.34,-0.03,0.16,-0.51,28.98,52.45
1901,4,2.53,49.39,-0.23,-0.23,0.77,0.29,14,419,0.05,-0.2,-0.11,-0.73,-0.14,-0.19,-0.31,37.09,61.66
1901,5,2.66,61.18,-0.54,-0.54,-1,-0.54,89,175,-0.49,-0.3,-0.44,-1.07,-0.18,-0.12,-0.37,48.22,74.1
1901,6,2.6,68.43,-0.74,-0.74,-0.76,-0.74,227,40,-0.79,-0.82,-0.63,-0.82,-0.61,-0.32,-0.48,55.44,81.41
1901,7,2.32,76.24,-1.45,-1.45,-2.37,-1.45,392,7,-1.32,-1.21,-1.15,-0.9,-1.11,-0.63,-0.66,62.55,89.96
1901,8,2.97,73.2,-1.33,-1.33,-0.09,-1.3,302,10,0.96,-0.29,-0.64,-0.73,-1.09,-0.41,-0.47,60.24,86.14
1901,9,2.58,63.25,-1,-1,0.59,-0.55,134,86,0.2,0.74,-0.03,-0.5,-0.71,-0.56,-0.2,50.79,75.7
1901,10,1.51,55.45,-1.6,-1.6,-2.12,-1.6,49,267,-1.2,-0.74,-0.29,-0.94,-0.87,-1.1,-0.48,42.39,68.5
1901,11,1.45,41.68,-2.43,-2.43,-2.98,-2.43,6,636,-1.32,-1.73,-1.25,-1.22,-1.17,-1.47,-0.61,30,53.37
1901,12,2.6,31.48,-2.74,-2.74,-1.67,-2.74,3,905,0.41,-0.62,-1.1,-0.85,-0.94,-1.08,-0.49,20.98,41.95
1902,1,1.45,30.06,-3.7,-3.7,-3.72,-3.7,3,958,-1.71,-0.75,-1.34,-1.04,-1.35,-1.23,-0.52,19.18,40.93
1902,2,2.56,31.46,-3.39,-3.39,-0.22,-3.39,2,877,1.02,-0.56,-0.16,-1.03,-1.09,-1.08,-0.52,21.06,41.86
1902,3,2.9,41.58,-2.67,-2.67,1.11,-2.17,15,596,0.85,1.21,0.06,-0.85,-0.71,-0.83,-0.35,30.79,52.34
1902,4,1.85,50.85,-2.95,-2.95,-1.67,-2.95,30,376,-1.61,-0.3,0.3,-0.87,-0.81,-1.15,-0.78,38.3,63.39
1902,5,3,61.99,-2.77,-2.77,-0.36,-2.77,130,154,0.21,-0.81,-0.15,-0.26,-0.93,-0.99,-0.65,49.57,74.41
1902,6,2.89,68.04,0.08,-2.41,0.23,-2.25,205,56,-0.16,0.01,-0.69,-0.5,-0.99,-0.87,-0.71,54.88,81.18
1902,7,3.09,72.05,0.57,-1.65,1.51,-0.8,297,15,0.81,0.32,0.3,0.28,-0.51,-0.55,-0.72,59.11,84.97
1902,8,2.3,71.37,0.44,-1.56,-0.23,-0.77,258,28,-0.88,-0.11,-0.16,-0.29,-0.31,-0.83,-0.76,58.3,84.42
1902,9,2.74,62.76,0.88,-0.91,1.47,0.47,127,96,0.57,-0.09,0.31,-0.35,-0.29,-0.77,-0.84,49.53,75.97
1902,10,1.93,54.43,0.63,-0.98,-0.48,0.18,50,272,-0.44,-0.04,-0.39,-0.06,0.01,-0.59,-1.1,41.56,67.3
1902,11,2.99,43.68,1.08,1.08,1.55,1.08,21,474,1.25,0.56,0.66,0.38,0.17,0.08,-0.91,33.82,53.55
1902,12,2.93,30.79,1.71,1.71,2.21,1.71,6,895,1.01,1.47,0.91,0.81,0.27,0.24,-0.49,21.4,40.19
1903,1,2.27,30.88,2.18,2.18,1.93,2.18,6,930,0.02,0.68,1.2,0.59,0.63,0.59,-0.36,21,40.77
1903,2,3.03,28.42,3.05,3.05,3.29,3.05,8,821,1.98,1.3,1.61,1.46,1.17,0.81,-0.12,17.62,39.2
1903,3,3.01,42.21,3.16,3.16,1.28,3.16,22,535,1.05,1.88,1.57,1.6,1.45,0.86,0.05,31.8,52.59
1903,4,1.99,50.22,2.48,2.48,-1.06,1.99,20,375,-1.24,0.05,1.02,1.43,1,0.95,-0.09,37.94,62.46
1903,5,3.01,59.54,2.44,2.44,0.64,2.16,90,149,0.23,-0.58,0.11,1.06,1.16,0.94,-0.03,47.17,71.91
1903,6,2.88,65.89,2.5,2.5,0.92,2.5,136,75,-0.19,0.01,-0.54,0.63,0.97,0.93,0.04,53.65,78.1
1903,7,2.97,71.92,2.9,2.9,1.97,2.9,284,17,0.48,0.12,0.16,0.73,1.26,0.88,0.23,59.07,84.79
1903,8,3.04,70.97,3.51,3.51,2.73,3.51,250,34,1.14,1.12,0.66,0.36,1.19,1.26,0.26,58.46,83.46
1903,9,2.12,62.73,-0.03,3.12,-0.09,3.02,127,88,-0.81,0.11,0.31,-0.24,0.67,0.96,0.11,49.78,75.67
1903,10,1.77,53.94,-0.25,2.58,-0.66,2.16,37,280,-0.73,-0.98,-0.43,-0.17,0.33,0.9,0.19,40.64,67.23
1903,11,1.83,40.23,-0.42,2.11,-0.59,1.41,8,633,-0.67,-0.95,-1.09,-0.52,-0.38,0.34,0.31,28.74,51.71
1903,12,1.44,30.54,-1.06,1.21,-2.06,-0.31,2,966,-1.69,-1.58,-1.57,-1.01,-1.02,-0.34,0.02,19.09,42.01
1904,1,1.81,27.55,-1.65,-1.65,-2.09,-1.65,4,1057,-0.9,-1.79,-1.78,-1.37,-1,-0.51,0.13,16.34,38.77
